Company Name,Bio,Industry,Industry Sectors,Key Products & Services,Market Positioning,Business Model,Ownership,Similarity Score
Snapchat,Multimedia messaging app known for disappearing messages.,Technology,"Social Media, Mobile Apps","Messaging, photo sharing, AR filters","Ephemeral Messaging, Youth Market","Advertising, Sponsored Content",Public (Snap Inc.),1
Spotify,Music streaming service offering on-demand access to songs.,Entertainment,"Music Streaming, Digital Media","Music streaming, podcasts, playlists","Personalized Music Experience, Streaming Leader","Freemium, Subscription-Based",Public,2
TikTok,Short-form video hosting service with user-generated content.,Technology,"Social Media, Entertainment","Short videos, content sharing, mobile app","Viral Content, Youth Engagement","Advertising, In-App Purchases",Private (ByteDance Ltd.),1
Coca-Cola,Beverage company known for its flagship cola product.,Food & Beverage,Non-Alcoholic Beverages,"Soft drinks, juices, bottled water","Global Brand, Refreshment","Manufacturing, Distribution, Franchising",Public,5
PepsiCo,"Multinational food, snack, and beverage corporation.",Food & Beverage,"Beverages, Snacks","Soft drinks, snack foods, bottled water","Diverse Portfolio, Global Brand","Manufacturing, Distribution, Diversification",Public,5
Nestl�,Largest food and beverage company offering a wide range of products.,Food & Beverage,"Packaged Foods, Beverages","Coffee, bottled water, baby food, pet food","Global Presence, Diverse Products","Manufacturing, Distribution, Brand Management",Public,5
Unilever,Specializes in food and personal care products.,Consumer Goods,"Food & Beverage, Personal Care, Home Care","Soap, shampoo, ice cream, tea","Sustainable Living, Global Brands","Manufacturing, Marketing, Brand Portfolio",Public,4
Danone,Focuses on dairy products and specialized nutrition.,Food & Beverage,"Dairy Products, Water, Specialized Nutrition","Yogurt, bottled water, infant nutrition","Health-Focused, Sustainable Practices","Manufacturing, Distribution",Public,5
Tesla,Electric vehicle and clean energy company.,Automotive,"Electric Vehicles, Renewable Energy","Electric cars, solar panels, energy storage","Innovation, Sustainability, High-Performance EVs","Manufacturing, Direct Sales",Public,1
Ford,"Produces cars, trucks, and SUVs.",Automotive,Vehicle Manufacturing,"Passenger cars, commercial vehicles","Reliability, Wide Range, Innovation","Manufacturing, Dealership Sales",Public,1
Toyota,Automotive manufacturer known for reliability.,Automotive,Vehicle Manufacturing,"Cars, trucks, hybrids","Quality, Innovation, Hybrid Technology","Manufacturing, Dealership Sales",Public,1
General Motors,Produces vehicles and vehicle parts.,Automotive,Vehicle Manufacturing,"Cars, trucks, automotive parts","Diverse Brands, Innovation","Manufacturing, Dealership Sales",Public,1
Volkswagen,Produces a wide range of vehicles.,Automotive,Vehicle Manufacturing,"Cars, trucks, commercial vehicles","German Engineering, Diverse Brands","Manufacturing, Dealership Sales",Public,1
Procter & Gamble,Consumer goods corporation.,Consumer Goods,"Personal Care, Household Products","Detergents, shampoos, diapers","Trusted Brands, Innovation","Manufacturing, Marketing, Brand Management",Public,3
L'Or�al,World's largest cosmetics and beauty company.,Personal Care,"Cosmetics, Skincare, Haircare","Makeup, skincare products, haircare","Beauty Innovation, Diverse Brands","Manufacturing, Marketing, Brand Portfolio",Public,2
Est�e Lauder,"Manufacturer of prestige skincare, makeup, and fragrances.",Personal Care,"Cosmetics, Skincare, Fragrances","High-end cosmetics, skincare, fragrances","Luxury Brands, Prestige Beauty","Manufacturing, Marketing, Brand Portfolio",Public,2
Colgate,Specializes in oral and personal care products.,Consumer Goods,"Oral Care, Personal Care, Home Care","Toothpaste, soap, pet nutrition","Trusted Brands, Global Presence","Manufacturing, Marketing, Brand Management",Public,3
Nike,"Designer of athletic footwear, apparel, and equipment.",Apparel,"Sporting Goods, Footwear","Athletic shoes, apparel, sports equipment","Innovation, Performance, Brand Leadership","Manufacturing, Retail Stores, E-commerce",Public,2
Adidas,Designs and manufactures sports shoes and apparel.,Apparel,"Sporting Goods, Footwear","Athletic shoes, apparel, accessories","Performance, Style, Global Brand","Manufacturing, Retail Stores, E-commerce",Public,2
Under Armour,Manufacturer of sports clothing and accessories.,Apparel,"Sporting Goods, Athletic Wear","Performance apparel, footwear, accessories","Performance, Innovation, Athletic Wear","Manufacturing, Retail Stores, E-commerce",Public,2
Puma,Sportswear manufacturer producing footwear and apparel.,Apparel,"Sporting Goods, Footwear","Athletic shoes, apparel, accessories","Sportstyle, Innovation, Global Brand","Manufacturing, Retail Stores, E-commerce",Public,2
New Balance,Athletic footwear and apparel manufacturer.,Apparel,"Sporting Goods, Footwear","Athletic shoes, apparel, accessories","Quality, Fit, Made in USA/UK","Manufacturing, Retail Stores, E-commerce",Private,2
Airbnb,Online marketplace for lodging and experiences.,Hospitality,"Travel, Technology","Home rentals, experiences, online booking","Unique Stays, Local Experiences","Platform-Based, Commission Fees",Public,3
Booking.com,Online travel agency for lodging reservations.,Travel,"Online Booking, Hospitality","Hotel bookings, vacation rentals, travel services","Wide Selection, Competitive Prices","Commission-Based, Affiliate Marketing",Subsidiary of Booking Holdings Inc. (Public),3
Expedia,Online travel agency offering various travel services.,Travel,"Online Booking, Hospitality","Travel bookings, packages, cruises",Comprehensive Travel Solutions,"Commission-Based, Advertising",Public,3
TripAdvisor,Online travel company offering user-generated content.,Travel,"Travel Reviews, Online Booking","Travel reviews, hotel bookings, restaurant reservations","Trusted Reviews, Travel Planning","Advertising, Commission-Based",Public,3
Trivago,Hotel search engine comparing prices from booking sites.,Travel,"Metasearch, Hospitality","Hotel price comparison, search platform","Price Comparison, Simplifying Hotel Search","Advertising, Referral Fees",Public,3
McDonald's,Global fast-food restaurant chain known for burgers and fries.,Food & Beverage,"Quick Service Restaurants, Fast Food","Burgers, fries, beverages","Fast Food, Convenience, Global Brand","Franchising, Retail Locations",Public,5
Starbucks,Multinational chain of coffeehouses offering coffee and beverages.,Food & Beverage,"Coffee Shops, Quick Service","Coffee, tea, pastries","Premium Coffee Experience, Global Brand","Retail Locations, Franchising, E-commerce",Public,5
Kraft Heinz,Global food company offering packaged foods and condiments.,Food Products,"Packaged Foods, Consumer Goods","Ketchup, cheese, snacks","Trusted Brands, Household Staples","Manufacturing, Distribution",Public,5
Mondelez International,Multinational confectionery and snack food company.,Food Products,"Snacks, Confectionery","Chocolates, biscuits, gum","Global Brands, Indulgent Snacks","Manufacturing, Distribution",Public,5
Kellogg's,Food manufacturing company specializing in cereals and snacks.,Food Products,"Breakfast Foods, Snacks","Cereals, crackers, snacks","Nutrition, Family-Friendly","Manufacturing, Distribution",Public,5
Anheuser-Busch InBev,World's largest brewer offering beer and beverages.,Beverages,"Alcoholic Beverages, Beer","Beer brands like Budweiser, Corona","Global Brands, Beverage Variety","Manufacturing, Distribution",Public,4
Heineken,Global brewing company producing beer and cider.,Beverages,"Alcoholic Beverages, Beer","Heineken beer, cider products","Premium Beer, Global Presence","Manufacturing, Distribution",Public,4
Diageo,Leading producer of spirits and alcoholic beverages.,Beverages,"Alcoholic Beverages, Spirits","Whiskey, vodka, gin brands","Premium Spirits, Diverse Portfolio","Manufacturing, Distribution",Public,4
"Mars, Incorporated","Global manufacturer of confectionery, pet food, and other food products.",Food Products,"Confectionery, Pet Care","Chocolates, pet food","Trusted Brands, Quality Products","Manufacturing, Distribution",Private,5
Conagra Brands,Food company producing packaged foods for retail and foodservice.,Food Products,"Packaged Foods, Consumer Goods","Frozen meals, snacks, condiments","Diverse Portfolio, Convenience Foods","Manufacturing, Distribution",Public,5
The Home Depot,Largest home improvement retailer offering tools and construction products.,Retail,"Home Improvement, Retail","Tools, appliances, building materials","DIY Solutions, Professional Services","Brick-and-Mortar Retail, E-commerce",Public,2
Lowe's,Home improvement retailer offering products and services.,Retail,"Home Improvement, Retail","Hardware, appliances, tools","Home Projects, DIY, Professional Supplies","Brick-and-Mortar Retail, E-commerce",Public,2
Best Buy,Consumer electronics retailer offering a wide range of products.,Retail,"Electronics, Appliances","TVs, computers, appliances","Technology Products, Customer Service","Brick-and-Mortar Retail, E-commerce",Public,2
IKEA,Multinational group offering ready-to-assemble furniture and home accessories.,Retail,"Furniture, Home Goods","Furniture, home d�cor, kitchenware","Affordable Design, DIY Assembly","Retail Stores, E-commerce",Private,2
Walgreens Boots Alliance,Global pharmacy-led health and wellbeing enterprise.,Retail,"Pharmacy, Health & Wellness","Pharmaceuticals, health products","Convenience, Health Services","Retail Pharmacies, E-commerce",Public,2
CVS Health,Healthcare company with pharmacy chain and health services.,"Healthcare, Retail","Pharmacy, Health Services","Prescriptions, health insurance, clinics","Integrated Healthcare, Accessibility","Retail Pharmacies, Health Services",Public,2
Seven & i Holdings (7-Eleven),Operator of convenience stores worldwide.,Retail,"Convenience Stores, Retail","Snacks, beverages, everyday essentials","Convenience, Accessibility","Franchising, Retail Locations",Public,3
JD.com,Major Chinese e-commerce company.,"Retail, Technology","E-commerce, Online Retail","Online shopping platform, electronics, apparel","Wide Selection, Fast Delivery","E-commerce, Logistics",Public,2
Alibaba Group,Multinational conglomerate specializing in e-commerce and technology.,"Retail, Technology","E-commerce, Cloud Computing","Online marketplaces, cloud services","Global E-commerce Leader, Diverse Services","Platform-Based, B2B, B2C, Cloud Services",Public,2
eBay,Online auction and shopping website.,"Retail, Technology","E-commerce, Online Auctions",Online marketplace for buyers and sellers,"Auction Platform, Global Reach","Commission-Based, Platform Model",Public,2
IBM,Multinational technology and consulting company.,Technology,"Cloud Computing, AI, Consulting","Watson AI, cloud services, enterprise solutions","Innovation, Enterprise Solutions","Services, Software Licensing, Hardware Sales",Public,1
Intel,Technology company and leading manufacturer of semiconductor chips.,Technology,"Semiconductors, Hardware","Microprocessors, chipsets","Performance, Innovation in Computing","Manufacturing, B2B Sales",Public,1
Samsung Electronics,Multinational electronics company offering consumer and industrial devices.,Technology,"Consumer Electronics, Semiconductors","Smartphones, TVs, home appliances","Innovation, Wide Product Range","Manufacturing, Retail Sales",Public,1
Sony,Conglomerate with diversified business in electronics and entertainment.,"Technology, Entertainment","Consumer Electronics, Gaming, Music","PlayStation, TVs, music labels","Quality, Entertainment Integration","Manufacturing, Content Production, Retail Sales",Public,1
Oracle,Multinational computer technology corporation.,Technology,"Database Software, Cloud Services","Database management systems, cloud services","Enterprise Solutions, Cloud Services","Licensing, Subscription Services",Public,1
Cisco Systems,Technology conglomerate specializing in networking hardware and software.,Technology,"Networking, Telecommunications","Routers, switches, cybersecurity solutions","Networking Solutions, Enterprise Technology","Hardware Sales, Services",Public,1
Salesforce,Cloud-based software company specializing in CRM solutions.,Technology,"Cloud Computing, Software","CRM software, cloud services","Customer Success, Cloud Solutions","Subscription-Based, SaaS",Public,1
SAP SE,Multinational software corporation developing enterprise software.,Technology,"Enterprise Software, Cloud Computing","ERP software, cloud services","Enterprise Solutions, Integrated Systems","Licensing, Subscription Services",Public,1
Adobe Inc.,Software company known for multimedia and creativity software products.,Technology,"Software, Digital Media","Photoshop, Illustrator, Acrobat","Creative Solutions, Industry Standard",Subscription-Based (Creative Cloud),Public,1
PayPal Holdings,Online payments system facilitating digital payments.,"Technology, Finance","Fintech, Online Payments","Online payment platform, mobile payments","Secure Payments, Convenience","Transaction Fees, Platform-Based",Public,2
Domino's Pizza,Global pizza delivery and carryout chain.,Food & Beverage,"Quick Service Restaurants, Fast Food","Pizza, delivery, carryout","Fast Delivery, Consistency, Global Presence","Franchising, Retail Locations",Public,5
Yum! Brands,"Parent company of KFC, Pizza Hut, and Taco Bell.",Food & Beverage,"Quick Service Restaurants, Fast Food","Fried chicken, pizza, tacos","Diverse Fast Food Offerings, Global Reach","Franchising, Retail Locations",Public,5
Chipotle Mexican Grill,Fast-casual restaurant chain specializing in Mexican-inspired cuisine.,Food & Beverage,"Fast-Casual Restaurants, Mexican Food","Burritos, bowls, tacos","Fresh Ingredients, Customization","Direct Sales, Retail Locations",Public,5
Subway,Global fast-food restaurant chain known for submarine sandwiches.,Food & Beverage,"Quick Service Restaurants, Fast Food","Sandwiches, salads, wraps","Customizable Meals, Health-Conscious Options","Franchising, Retail Locations",Public,5
Dunkin' Brands,Operator of Dunkin' Donuts and Baskin-Robbins chains.,Food & Beverage,"Quick Service Restaurants, Coffee Shops","Donuts, coffee, ice cream","Convenience, Quick Service","Franchising, Retail Locations",Public,5
Restaurant Brands International,"Parent company of Burger King, Tim Hortons, and Popeyes.",Food & Beverage,"Quick Service Restaurants, Fast Food","Burgers, coffee, fried chicken","Diverse Fast Food Portfolio, Global Reach","Franchising, Retail Locations",Public,5
Coca-Cola European Partners,Bottling partner for Coca-Cola products in Europe.,Beverages,Non-Alcoholic Beverages,"Soft drinks, juices, bottled water","Regional Focus, Beverage Variety","Manufacturing, Distribution",Public,5
Tyson Foods,"Leading global processor and marketer of chicken, beef, and pork.",Food Products,"Meat Processing, Packaged Foods","Chicken, beef, pork products","Quality Meat Products, Supply Chain Excellence","Manufacturing, Distribution",Public,5
General Mills,Major global manufacturer of branded consumer foods.,Food Products,"Packaged Foods, Breakfast Foods","Cereals, snacks, baking products","Trusted Brands, Diverse Product Range","Manufacturing, Distribution",Public,5
Campbell Soup Company,"Leading producer of soups, beverages, and snacks.",Food Products,"Packaged Foods, Beverages","Soups, beverages, snacks","Comfort Foods, Trusted Brands","Manufacturing, Distribution",Public,5
